Grenada,GRD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.104
Greenland,GRL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2
Guatemala,GTM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.973
Guam,GUM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.347
Guyana,GUY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.51
High income,HIC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.67805291896538
"Hong Kong SAR, China",HKG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.205
Honduras,HND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.462
Heavily indebted poor countries (HIPC),HPC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.85597269553095
Croatia,HRV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.4
Haiti,HTI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.919
Hungary,HUN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.45
IBRD only,IBD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.08346968334207
IDA & IBRD total,IBT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.56454732995488
IDA total,IDA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.07622717176308
IDA blend,IDB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.18402638001722
Indonesia,IDN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.363
IDA only,IDX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.02333704262453
Isle of Man,IMN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
India,IND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.326
Not classified,INX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Ireland,IRL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.92
"Iran, Islamic Rep.",IRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.661
Iraq,IRQ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.37
Iceland,ISL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.8
Israel,ISR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.11
Italy,ITA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.35
Jamaica,JAM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.009
Jordan,JOR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.378
Japan,JPN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.44
Kazakhstan,KAZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.73
Kenya,KEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.852
Kyrgyz Republic,KGZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.1
Cambodia,KHM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.56
Kiribati,KIR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.651
St. Kitts and Nevis,KNA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
"Korea, Rep.",KOR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.172
Kuwait,KWT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.97
Latin America & Caribbean (excluding high income),LAC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.05986636241102
Lao PDR,LAO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.698
Lebanon,LBN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.719
Liberia,LBR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.581
Libya,LBY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.274
St. Lucia,LCA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.459
